# zeta, mu=22, NB=56, ctx.dps=22 ; rayon max des entrees certifiees = 1.140e-10 ; rayon max des quotients = 8.618e-10
# borne = mid + rad du quotient de Rayleigh certifie (Arb) ; temoins : witnesses_zeta_mu22.json (dyadiques exacts)
[2, 5, 7, 11, 13] : -0.753896  (rayon 1.12e-10)
[2, 5, 7, 11, 17] : -0.916653  (rayon 1.01e-10)
[2, 5, 7, 11, 19] : -0.906825  (rayon 1.40e-10)
[2, 5, 7, 13, 17] : -0.978875  (rayon 1.02e-10)
[2, 5, 7, 13, 19] : -0.896453  (rayon 1.13e-10)
[2, 5, 7, 17, 19] : -1.332764  (rayon 1.28e-10)
[2, 5, 11, 13, 17] : -1.120793  (rayon 4.47e-11)
[2, 5, 11, 13, 19] : -1.178986  (rayon 6.59e-11)
[2, 5, 11, 17, 19] : -1.353517  (rayon 7.85e-11)
[2, 5, 13, 17, 19] : -1.130270  (rayon 1.58e-10)
[2, 7, 11, 13, 17] : -1.289600  (rayon 5.24e-11)
[2, 7, 11, 13, 19] : -1.227571  (rayon 4.50e-11)
[2, 7, 11, 17, 19] : -1.155631  (rayon 9.42e-11)
[2, 7, 13, 17, 19] : -1.489321  (rayon 9.36e-11)
[2, 11, 13, 17, 19] : -1.512786  (rayon 4.55e-11)
[3, 5, 7, 11, 13] : -0.682150  (rayon 3.58e-10)
[3, 5, 7, 11, 17] : -0.815215  (rayon 2.08e-10)
[3, 5, 7, 11, 19] : -0.952027  (rayon 3.55e-10)
[3, 5, 7, 13, 17] : -0.883345  (rayon 1.14e-10)
[3, 5, 7, 13, 19] : -0.861497  (rayon 1.51e-10)
[3, 5, 7, 17, 19] : -1.230691  (rayon 1.08e-10)
[3, 5, 11, 13, 17] : -1.162653  (rayon 6.17e-11)
[3, 5, 11, 13, 19] : -1.099491  (rayon 4.91e-11)
[3, 5, 11, 17, 19] : -1.147596  (rayon 1.64e-10)
[3, 5, 13, 17, 19] : -1.237248  (rayon 7.99e-11)
[3, 7, 11, 13, 17] : -1.209689  (rayon 3.80e-11)
[3, 7, 11, 13, 19] : -1.229181  (rayon 5.99e-11)
[3, 7, 11, 17, 19] : -1.315003  (rayon 7.47e-11)
[3, 7, 13, 17, 19] : -1.223701  (rayon 6.48e-11)
[3, 11, 13, 17, 19] : -1.581843  (rayon 4.65e-11)
[5, 7, 11, 13, 17] : -1.207396  (rayon 1.82e-11)
[5, 7, 11, 13, 19] : -1.208775  (rayon 2.77e-11)
[5, 7, 11, 17, 19] : -1.248412  (rayon 7.24e-11)
[5, 7, 13, 17, 19] : -1.314436  (rayon 7.21e-11)
[5, 11, 13, 17, 19] : -1.323735  (rayon 6.25e-11)
[7, 11, 13, 17, 19] : -1.656330  (rayon 3.48e-11)
[2, 3, 5, 7, 11, 13] : -0.386577  (rayon 8.34e-10)
[2, 3, 5, 7, 11, 17] : -0.558268  (rayon 3.00e-10)
[2, 3, 5, 7, 11, 19] : -0.654444  (rayon 4.02e-10)
[2, 3, 5, 7, 13, 17] : -0.629216  (rayon 2.69e-10)
[2, 3, 5, 7, 13, 19] : -0.649711  (rayon 2.68e-10)
[2, 3, 5, 7, 17, 19] : -1.055883  (rayon 1.50e-10)
[2, 3, 5, 11, 13, 17] : -0.736913  (rayon 5.46e-11)
[2, 3, 5, 11, 13, 19] : -0.779674  (rayon 1.42e-10)
[2, 3, 5, 11, 17, 19] : -1.115352  (rayon 1.62e-10)
[2, 3, 5, 13, 17, 19] : -0.904661  (rayon 1.77e-10)
[2, 3, 7, 11, 13, 17] : -0.729326  (rayon 1.58e-10)
[2, 3, 7, 11, 13, 19] : -0.815569  (rayon 1.68e-10)
[2, 3, 7, 11, 17, 19] : -0.991798  (rayon 9.14e-11)
[2, 3, 7, 13, 17, 19] : -1.150289  (rayon 1.27e-10)
[2, 3, 11, 13, 17, 19] : -1.202470  (rayon 1.30e-10)
[2, 5, 7, 11, 13, 17] : -0.733303  (rayon 4.30e-11)
[2, 5, 7, 11, 13, 19] : -0.775777  (rayon 2.12e-10)
[2, 5, 7, 11, 17, 19] : -1.010782  (rayon 1.26e-10)
[2, 5, 7, 13, 17, 19] : -1.074411  (rayon 1.44e-10)
[2, 5, 11, 13, 17, 19] : -1.136998  (rayon 5.18e-11)
[2, 7, 11, 13, 17, 19] : -1.333134  (rayon 5.42e-11)
[3, 5, 7, 11, 13, 17] : -0.636369  (rayon 5.69e-10)
[3, 5, 7, 11, 13, 19] : -0.737804  (rayon 3.29e-10)
[3, 5, 7, 11, 17, 19] : -0.884294  (rayon 1.72e-10)
[3, 5, 7, 13, 17, 19] : -0.959441  (rayon 1.06e-10)
[3, 5, 11, 13, 17, 19] : -1.210946  (rayon 7.12e-11)
[3, 7, 11, 13, 17, 19] : -1.207034  (rayon 2.68e-11)
[5, 7, 11, 13, 17, 19] : -1.208291  (rayon 1.79e-11)
[2, 3, 5, 7, 11, 13, 17] : -0.331137  (rayon 8.62e-10)
[2, 3, 5, 7, 11, 13, 19] : -0.415706  (rayon 4.55e-10)
[2, 3, 5, 7, 11, 17, 19] : -0.634463  (rayon 1.89e-10)
[2, 3, 5, 7, 13, 17, 19] : -0.710806  (rayon 1.61e-10)
[2, 3, 5, 11, 13, 17, 19] : -0.735483  (rayon 3.94e-11)
[2, 3, 7, 11, 13, 17, 19] : -0.719763  (rayon 2.89e-11)
[2, 5, 7, 11, 13, 17, 19] : -0.732406  (rayon 2.14e-11)
[3, 5, 7, 11, 13, 17, 19] : -0.560529  (rayon 3.47e-11)
[2, 3, 5, 7, 11, 13, 17, 19] : +0.000000  (rayon 3.29e-10)
